hourstamp,slot,hour,price_ct,floor_ct,spot_ct,forecast_kwh,forecast_lower,forecast_upper,margin_eur
2026-06-14 00:00:00,0,0,30.17,23.86,9.396,9.01,8.25,9.83,0.57
2026-06-14 00:15:00,1,0,23.65,23.65,9.189,4.17,3.75,4.65,0.0
2026-06-14 00:30:00,2,0,23.53,23.53,9.061,6.54,5.87,7.29,0.0
2026-06-14 00:45:00,3,0,23.41,23.41,8.941,8.74,7.85,9.75,0.0
2026-06-14 01:00:00,4,1,23.28,23.28,8.811,8.03,7.21,8.96,0.0
2026-06-14 01:15:00,5,1,23.16,23.16,8.693,2.95,2.64,3.29,0.0
2026-06-14 01:30:00,6,1,23.11,23.11,8.646,1.37,1.23,1.53,0.0
2026-06-14 01:45:00,7,1,23.04,23.04,8.578,0.88,0.79,0.98,0.0
2026-06-14 02:00:00,8,2,23.0,23.0,8.532,0.93,0.83,1.04,0.0
2026-06-14 02:15:00,9,2,22.93,22.93,8.466,0.92,0.83,1.03,0.0
2026-06-14 02:30:00,10,2,22.92,22.92,8.456,0.93,0.83,1.04,0.0
2026-06-14 02:45:00,11,2,22.91,22.91,8.441,2.13,1.91,2.38,0.0
2026-06-14 03:00:00,12,3,22.82,22.82,8.353,3.15,2.82,3.52,0.0
2026-06-14 03:15:00,13,3,22.83,22.83,8.362,6.66,5.97,7.44,0.0
2026-06-14 03:30:00,14,3,22.88,22.88,8.417,4.93,4.41,5.5,0.0
2026-06-14 03:45:00,15,3,22.93,22.93,8.468,0.95,0.85,1.06,0.0
2026-06-14 04:00:00,16,4,22.93,22.93,8.461,0.96,0.86,1.07,0.0
2026-06-14 04:15:00,17,4,23.01,23.01,8.543,0.91,0.82,1.02,0.0
2026-06-14 04:30:00,18,4,23.18,23.18,8.719,0.92,0.83,1.03,0.0
2026-06-14 04:45:00,19,4,23.4,23.4,8.932,0.91,0.82,1.02,0.0
2026-06-14 05:00:00,20,5,23.43,23.43,8.963,0.81,0.73,0.91,0.0
2026-06-14 05:15:00,21,5,23.77,23.77,9.305,0.85,0.76,0.95,0.0
2026-06-14 05:30:00,22,5,24.06,24.06,9.594,0.79,0.71,0.88,0.0
2026-06-14 05:45:00,23,5,24.43,24.43,9.962,0.75,0.67,0.83,0.0
2026-06-14 06:00:00,24,6,25.06,25.06,10.59,1.78,1.61,1.98,0.0
2026-06-14 06:15:00,25,6,25.39,25.39,10.924,4.29,3.87,4.75,0.0
2026-06-14 06:30:00,26,6,25.53,25.53,11.065,5.75,5.2,6.37,0.0
2026-06-14 06:45:00,27,6,25.54,25.54,11.074,6.01,5.43,6.66,0.0
2026-06-14 07:00:00,28,7,26.48,26.48,12.011,0.32,0.27,0.39,0.0
2026-06-14 07:15:00,29,7,26.33,26.33,11.861,0.74,0.61,0.89,0.0
2026-06-14 07:30:00,30,7,26.13,26.13,11.668,2.52,2.09,3.04,0.0
2026-06-14 07:45:00,31,7,25.71,25.71,11.243,3.9,3.23,4.7,0.0
2026-06-14 08:00:00,32,8,26.15,26.15,11.68,8.02,6.65,9.66,0.0
2026-06-14 08:15:00,33,8,41.14,25.59,11.12,9.26,8.37,10.25,1.44
2026-06-14 08:30:00,34,8,59.45,25.11,10.64,10.24,10.21,10.27,3.52
2026-06-14 08:45:00,35,8,74.71,24.51,10.046,11.04,10.1,12.07,5.54
2026-06-14 09:00:00,36,9,90.19,24.08,9.615,12.41,10.4,14.81,8.21
2026-06-14 09:15:00,37,9,86.73,23.46,8.993,12.39,10.59,14.5,7.84
2026-06-14 09:30:00,38,9,80.16,23.03,8.56,11.56,10.25,13.03,6.61
2026-06-14 09:45:00,39,9,73.56,22.6,8.134,11.41,10.51,12.39,5.82
2026-06-14 10:00:00,40,10,66.75,21.93,7.465,10.14,9.8,10.49,4.54
2026-06-14 10:15:00,41,10,69.72,21.55,7.086,10.28,9.8,10.77,4.95
2026-06-14 10:30:00,42,10,69.57,21.31,6.845,10.36,9.89,10.85,5.0
2026-06-14 10:45:00,43,10,69.41,21.06,6.591,9.61,9.18,10.06,4.65
2026-06-14 11:00:00,44,11,69.06,20.49,6.024,9.32,8.92,9.74,4.53
