hourstamp,slot,hour,price_ct,floor_ct,spot_ct,forecast_kwh,forecast_lower,forecast_upper,margin_eur
2026-06-08 00:00:00,0,0,36.48,23.86,9.396,6.54,5.93,7.21,0.82
2026-06-08 00:15:00,1,0,33.13,23.65,9.189,6.51,5.82,7.28,0.62
2026-06-08 00:30:00,2,0,23.53,23.53,9.061,4.58,3.93,5.34,0.0
2026-06-08 00:45:00,3,0,23.41,23.41,8.941,1.25,1.08,1.46,0.0
2026-06-08 01:00:00,4,1,23.28,23.28,8.811,0.96,0.82,1.12,0.0
2026-06-08 01:15:00,5,1,23.16,23.16,8.693,0.9,0.77,1.05,0.0
2026-06-08 01:30:00,6,1,23.11,23.11,8.646,0.91,0.78,1.06,0.0
2026-06-08 01:45:00,7,1,23.04,23.04,8.578,0.87,0.74,1.01,0.0
2026-06-08 02:00:00,8,2,23.0,23.0,8.532,0.91,0.77,1.06,0.0
2026-06-08 02:15:00,9,2,22.93,22.93,8.466,0.94,0.8,1.1,0.0
2026-06-08 02:30:00,10,2,22.92,22.92,8.456,0.88,0.75,1.03,0.0
2026-06-08 02:45:00,11,2,22.91,22.91,8.441,0.94,0.8,1.1,0.0
2026-06-08 03:00:00,12,3,22.82,22.82,8.353,0.88,0.75,1.03,0.0
2026-06-08 03:15:00,13,3,22.83,22.83,8.362,0.92,0.79,1.08,0.0
2026-06-08 03:30:00,14,3,22.88,22.88,8.417,0.88,0.75,1.03,0.0
2026-06-08 03:45:00,15,3,22.93,22.93,8.468,0.99,0.85,1.16,0.0
2026-06-08 04:00:00,16,4,22.93,22.93,8.461,0.92,0.79,1.08,0.0
2026-06-08 04:15:00,17,4,23.01,23.01,8.543,0.94,0.8,1.1,0.0
2026-06-08 04:30:00,18,4,23.18,23.18,8.719,1.31,1.13,1.53,0.0
2026-06-08 04:45:00,19,4,23.4,23.4,8.932,3.11,2.66,3.63,0.0
2026-06-08 05:00:00,20,5,23.43,23.43,8.963,0.83,0.71,0.97,0.0
2026-06-08 05:15:00,21,5,23.77,23.77,9.305,1.48,1.27,1.72,0.0
2026-06-08 05:30:00,22,5,24.06,24.06,9.594,0.73,0.63,0.85,0.0
2026-06-08 05:45:00,23,5,24.43,24.43,9.962,2.61,2.25,3.03,0.0
2026-06-08 06:00:00,24,6,25.06,25.06,10.59,5.67,4.89,6.57,0.0
2026-06-08 06:15:00,25,6,25.39,25.39,10.924,6.74,5.83,7.8,0.0
2026-06-08 06:30:00,26,6,34.87,25.53,11.065,7.1,6.4,7.88,0.66
