hourstamp,slot,hour,price_ct,floor_ct,spot_ct,forecast_kwh,forecast_lower,forecast_upper,margin_eur
2026-07-19 00:00:00,0,0,23.86,23.86,9.396,15.33,14.62,16.08,0.0
2026-07-19 00:15:00,1,0,23.65,23.65,9.189,4.69,4.47,4.92,0.0
2026-07-19 00:30:00,2,0,23.53,23.53,9.061,7.43,7.08,7.8,0.0
2026-07-19 00:45:00,3,0,23.41,23.41,8.941,9.73,9.27,10.21,0.0
2026-07-19 01:00:00,4,1,23.28,23.28,8.811,9.11,8.68,9.56,0.0
2026-07-19 01:15:00,5,1,23.16,23.16,8.693,3.26,3.1,3.42,0.0
2026-07-19 01:30:00,6,1,23.11,23.11,8.646,1.6,1.52,1.68,0.0
2026-07-19 01:45:00,7,1,23.04,23.04,8.578,1.03,0.98,1.08,0.0
2026-07-19 02:00:00,8,2,23.0,23.0,8.532,1.08,1.03,1.13,0.0
2026-07-19 02:15:00,9,2,22.93,22.93,8.466,1.04,0.99,1.09,0.0
2026-07-19 02:30:00,10,2,22.92,22.92,8.456,1.04,0.99,1.09,0.0
2026-07-19 02:45:00,11,2,22.91,22.91,8.441,2.43,2.32,2.56,0.0
2026-07-19 03:00:00,12,3,22.82,22.82,8.353,3.47,3.3,3.64,0.0
2026-07-19 03:15:00,13,3,22.83,22.83,8.362,7.21,6.87,7.57,0.0
2026-07-19 03:30:00,14,3,22.88,22.88,8.417,5.4,5.14,5.67,0.0
2026-07-19 03:45:00,15,3,22.93,22.93,8.468,1.08,1.03,1.14,0.0
2026-07-19 04:00:00,16,4,22.93,22.93,8.461,1.09,1.04,1.14,0.0
2026-07-19 04:15:00,17,4,23.01,23.01,8.543,0.99,0.95,1.04,0.0
2026-07-19 04:30:00,18,4,23.18,23.18,8.719,1.04,0.99,1.09,0.0
2026-07-19 04:45:00,19,4,23.4,23.4,8.932,1.02,0.97,1.07,0.0
2026-07-19 05:00:00,20,5,23.43,23.43,8.963,0.9,0.86,0.95,0.0
2026-07-19 05:15:00,21,5,23.77,23.77,9.305,0.98,0.94,1.03,0.0
2026-07-19 05:30:00,22,5,24.06,24.06,9.594,0.9,0.86,0.94,0.0
2026-07-19 05:45:00,23,5,24.43,24.43,9.962,0.83,0.79,0.87,0.0
2026-07-19 06:00:00,24,6,25.06,25.06,10.59,2.03,1.94,2.13,0.0
2026-07-19 06:15:00,25,6,25.39,25.39,10.924,4.94,4.72,5.17,0.0
2026-07-19 06:30:00,26,6,25.53,25.53,11.065,6.69,6.39,7.0,0.0
2026-07-19 06:45:00,27,6,25.54,25.54,11.074,6.74,6.44,7.05,0.0
2026-07-19 07:00:00,28,7,26.48,26.48,12.011,0.31,0.28,0.34,0.0
2026-07-19 07:15:00,29,7,26.33,26.33,11.861,0.7,0.64,0.77,0.0
2026-07-19 07:30:00,30,7,26.13,26.13,11.668,2.38,2.16,2.63,0.0
2026-07-19 07:45:00,31,7,25.71,25.71,11.243,3.68,3.33,4.07,0.0
2026-07-19 08:00:00,32,8,26.15,26.15,11.68,7.48,6.78,8.25,0.0
2026-07-19 08:15:00,33,8,25.59,25.59,11.12,9.99,9.04,11.05,0.0
2026-07-19 08:30:00,34,8,25.11,25.11,10.64,13.27,11.99,14.68,0.0
2026-07-19 08:45:00,35,8,46.47,24.51,10.046,14.25,13.73,14.8,3.13
2026-07-19 09:00:00,36,9,80.74,24.08,9.615,14.86,13.93,15.86,8.42
2026-07-19 09:15:00,37,9,77.24,23.46,8.993,14.74,13.95,15.56,7.93
2026-07-19 09:30:00,38,9,57.94,23.03,8.56,14.46,14.41,14.5,5.05
2026-07-19 09:45:00,39,9,48.08,22.6,8.134,14.38,13.92,14.86,3.66
2026-07-19 10:00:00,40,10,60.35,21.93,7.465,15.57,15.53,15.62,5.98
2026-07-19 10:15:00,41,10,66.51,21.55,7.086,13.68,13.45,13.93,6.15
2026-07-19 10:30:00,42,10,66.35,21.31,6.845,13.74,13.51,13.98,6.19
2026-07-19 10:45:00,43,10,62.96,21.06,6.591,15.03,14.89,15.17,6.3
2026-07-19 11:00:00,44,11,62.58,20.49,6.024,14.63,14.5,14.75,6.16
2026-07-19 11:15:00,45,11,65.68,20.28,5.817,13.45,13.24,13.66,6.1
2026-07-19 11:30:00,46,11,65.62,20.18,5.712,13.67,13.46,13.89,6.21
2026-07-19 11:45:00,47,11,62.29,20.06,5.597,14.35,14.24,14.46,6.06
2026-07-19 12:00:00,48,12,65.22,19.57,5.1,14.94,14.73,15.16,6.82
2026-07-19 12:15:00,49,12,65.14,19.44,4.975,14.85,14.63,15.06,6.78
2026-07-19 12:30:00,50,12,61.86,19.42,4.953,15.32,15.22,15.42,6.5
2026-07-19 12:45:00,51,12,65.09,19.37,4.905,13.84,13.64,14.04,6.33
2026-07-19 13:00:00,52,13,68.07,18.92,4.449,13.5,13.22,13.79,6.64
2026-07-19 13:15:00,53,13,68.16,19.06,4.597,14.95,14.63,15.27,7.34
2026-07-19 13:30:00,54,13,68.24,19.19,4.726,15.06,14.74,15.39,7.39
2026-07-19 13:45:00,55,13,68.36,19.38,4.917,15.3,14.97,15.64,7.49
2026-07-19 14:00:00,56,14,68.25,19.2,4.731,13.77,13.47,14.07,6.75
2026-07-19 14:15:00,57,14,65.21,19.56,5.091,14.15,13.95,14.36,6.46
2026-07-19 14:30:00,58,14,65.45,19.93,5.465,14.98,14.76,15.21,6.82
2026-07-19 14:45:00,59,14,68.98,20.37,5.906,14.58,14.24,14.92,7.09
2026-07-19 15:00:00,60,15,94.96,20.49,6.02,14.46,13.03,16.04,10.77
2026-07-19 15:15:00,61,15,91.96,21.02,6.557,14.44,13.13,15.88,10.24
2026-07-19 15:30:00,62,15,88.95,21.47,7.002,14.16,12.99,15.44,9.56
2026-07-19 15:45:00,63,15,82.81,22.03,7.561,14.48,13.51,15.51,8.8
2026-07-19 16:00:00,64,16,86.14,22.29,7.822,14.34,13.26,15.51,9.16
2026-07-19 16:15:00,65,16,89.58,22.8,8.333,14.56,13.33,15.9,9.72
2026-07-19 16:30:00,66,16,89.78,23.22,8.755,14.35,13.13,15.69,9.55
2026-07-19 16:45:00,67,16,80.53,23.7,9.233,14.13,13.28,15.04,8.03
2026-07-19 17:00:00,68,17,24.66,24.66,10.193,19.19,17.65,20.86,0.0
2026-07-19 17:15:00,69,17,24.94,24.94,10.475,20.06,18.47,21.8,0.0
2026-07-19 17:30:00,70,17,25.28,25.28,10.81,23.72,21.85,25.75,0.0
2026-07-19 17:45:00,71,17,25.64,25.64,11.169,24.62,22.7,26.7,0.0
2026-07-19 18:00:00,72,18,26.77,26.77,12.304,19.5,18.03,21.08,0.0
2026-07-19 18:15:00,73,18,26.81,26.81,12.339,19.94,18.44,21.57,0.0
2026-07-19 18:30:00,74,18,26.98,26.98,12.511,17.35,16.05,18.76,0.0
2026-07-19 18:45:00,75,18,27.08,27.08,12.61,17.33,16.03,18.73,0.0
2026-07-19 19:00:00,76,19,28.01,28.01,13.539,15.3,14.19,16.5,0.0
2026-07-19 19:15:00,77,19,150.0,27.83,13.364,15.66,12.55,19.53,19.13
2026-07-19 19:30:00,78,19,27.72,27.72,13.254,14.29,13.25,15.42,0.0
2026-07-19 19:45:00,79,19,150.0,27.74,13.275,12.09,9.69,15.09,14.79
2026-07-19 20:00:00,80,20,49.26,27.89,13.423,15.51,15.28,15.75,3.31
2026-07-19 20:15:00,81,20,52.09,27.61,13.142,15.05,14.9,15.21,3.68
2026-07-19 20:30:00,82,20,51.9,27.38,12.914,15.02,14.86,15.19,3.68
2026-07-19 20:45:00,83,20,45.47,27.03,12.56,14.73,14.43,15.04,2.72
2026-07-19 21:00:00,84,21,42.16,26.76,12.291,14.47,14.11,14.85,2.23
2026-07-19 21:15:00,85,21,41.78,26.32,11.849,14.2,13.83,14.58,2.19
2026-07-19 21:30:00,86,21,41.53,26.04,11.572,14.17,13.79,14.55,2.2
2026-07-19 21:45:00,87,21,34.99,25.66,11.198,14.95,14.41,15.51,1.39
2026-07-19 22:00:00,88,22,34.82,25.48,11.015,14.61,14.07,15.16,1.36
2026-07-19 22:15:00,89,22,28.19,25.06,10.599,15.02,14.33,15.75,0.47
2026-07-19 22:30:00,90,22,34.24,24.85,10.386,15.31,14.74,15.91,1.44
2026-07-19 22:45:00,91,22,30.79,24.51,10.045,14.7,14.08,15.35,0.92
2026-07-19 23:00:00,92,23,33.78,24.36,9.894,14.08,13.54,14.63,1.33
2026-07-19 23:15:00,93,23,24.1,24.1,9.637,10.78,10.21,11.37,0.0
2026-07-19 23:30:00,94,23,23.92,23.92,9.456,5.59,5.3,5.9,0.0
2026-07-19 23:45:00,95,23,23.72,23.72,9.258,8.55,8.1,9.03,0.0
