hourstamp,slot,hour,price_ct,floor_ct,spot_ct,forecast_kwh,forecast_lower,forecast_upper,margin_eur
2026-06-15 00:00:00,0,0,27.02,23.86,9.396,13.15,11.96,14.46,0.41
2026-06-15 00:15:00,1,0,23.65,23.65,9.189,13.3,11.97,14.77,0.0
2026-06-15 00:30:00,2,0,23.53,23.53,9.061,4.94,4.44,5.49,0.0
2026-06-15 00:45:00,3,0,23.41,23.41,8.941,1.37,1.23,1.52,0.0
2026-06-15 01:00:00,4,1,23.28,23.28,8.811,1.05,0.94,1.16,0.0
2026-06-15 01:15:00,5,1,23.16,23.16,8.693,0.98,0.88,1.09,0.0
2026-06-15 01:30:00,6,1,23.11,23.11,8.646,0.99,0.89,1.1,0.0
2026-06-15 01:45:00,7,1,23.04,23.04,8.578,0.95,0.85,1.05,0.0
2026-06-15 02:00:00,8,2,23.0,23.0,8.532,0.99,0.89,1.1,0.0
2026-06-15 02:15:00,9,2,22.93,22.93,8.466,1.02,0.92,1.14,0.0
2026-06-15 02:30:00,10,2,22.92,22.92,8.456,0.96,0.86,1.06,0.0
2026-06-15 02:45:00,11,2,22.91,22.91,8.441,1.02,0.92,1.13,0.0
2026-06-15 03:00:00,12,3,22.82,22.82,8.353,0.96,0.87,1.07,0.0
2026-06-15 03:15:00,13,3,22.83,22.83,8.362,1.0,0.9,1.11,0.0
2026-06-15 03:30:00,14,3,22.88,22.88,8.417,0.96,0.86,1.07,0.0
2026-06-15 03:45:00,15,3,22.93,22.93,8.468,1.1,0.99,1.23,0.0
2026-06-15 04:00:00,16,4,22.93,22.93,8.461,1.0,0.9,1.11,0.0
2026-06-15 04:15:00,17,4,23.01,23.01,8.543,1.02,0.91,1.13,0.0
2026-06-15 04:30:00,18,4,23.18,23.18,8.719,1.43,1.28,1.59,0.0
2026-06-15 04:45:00,19,4,23.4,23.4,8.932,3.41,3.07,3.79,0.0
2026-06-15 05:00:00,20,5,23.43,23.43,8.963,0.91,0.82,1.02,0.0
2026-06-15 05:15:00,21,5,23.77,23.77,9.305,1.62,1.46,1.8,0.0
2026-06-15 05:30:00,22,5,24.06,24.06,9.594,0.8,0.72,0.89,0.0
2026-06-15 05:45:00,23,5,24.43,24.43,9.962,2.8,2.52,3.1,0.0
2026-06-15 06:00:00,24,6,25.06,25.06,10.59,6.21,5.61,6.87,0.0
2026-06-15 06:15:00,25,6,25.39,25.39,10.924,7.35,6.65,8.12,0.0
2026-06-15 06:30:00,26,6,28.64,25.53,11.065,11.53,10.54,12.62,0.36
2026-06-15 06:45:00,27,6,34.87,25.54,11.074,11.53,10.74,12.39,1.08
2026-06-15 07:00:00,28,7,26.48,26.48,12.011,4.25,3.55,5.09,0.0
2026-06-15 07:15:00,29,7,26.33,26.33,11.861,4.34,3.62,5.21,0.0
2026-06-15 07:30:00,30,7,26.13,26.13,11.668,8.18,6.82,9.82,0.0
2026-06-15 07:45:00,31,7,25.71,25.71,11.243,13.91,11.56,16.73,0.0
2026-06-15 08:00:00,32,8,50.92,26.15,11.68,12.76,12.2,13.34,3.16
2026-06-15 08:15:00,33,8,25.59,25.59,11.12,14.12,11.73,17.0,0.0
2026-06-15 08:30:00,34,8,25.11,25.11,10.64,11.83,9.8,14.27,0.0
2026-06-15 08:45:00,35,8,24.51,24.51,10.046,12.74,10.52,15.43,0.0
2026-06-15 09:00:00,36,9,27.23,24.08,9.615,14.13,11.85,16.86,0.44
2026-06-15 09:15:00,37,9,36.11,23.46,8.993,13.66,12.03,15.51,1.73
2026-06-15 09:30:00,38,9,29.37,23.03,8.56,13.97,11.85,16.46,0.89
2026-06-15 09:45:00,39,9,22.6,22.6,8.134,11.72,9.58,14.34,0.0
2026-06-15 10:00:00,40,10,57.15,21.93,7.465,11.56,11.48,11.65,4.07
2026-06-15 10:15:00,41,10,53.66,21.55,7.086,12.02,11.77,12.28,3.86
2026-06-15 10:30:00,42,10,53.48,21.31,6.845,12.62,12.34,12.9,4.06
2026-06-15 10:45:00,43,10,53.29,21.06,6.591,11.31,11.06,11.58,3.65
2026-06-15 11:00:00,44,11,52.87,20.49,6.024,13.0,12.68,13.32,4.21
2026-06-15 11:15:00,45,11,55.95,20.28,5.817,12.26,12.11,12.41,4.37
2026-06-15 11:30:00,46,11,55.88,20.18,5.712,13.3,13.13,13.46,4.75
2026-06-15 11:45:00,47,11,55.8,20.06,5.597,11.59,11.44,11.74,4.14
2026-06-15 12:00:00,48,12,58.7,19.57,5.1,11.65,11.64,11.66,4.56
2026-06-15 12:15:00,49,12,58.61,19.44,4.975,12.1,12.08,12.12,4.74
2026-06-15 12:30:00,50,12,55.33,19.42,4.953,13.62,13.42,13.82,4.89
2026-06-15 12:45:00,51,12,52.03,19.37,4.905,12.05,11.72,12.39,3.94
2026-06-15 13:00:00,52,13,48.41,18.92,4.449,13.39,12.83,13.97,3.95
2026-06-15 13:15:00,53,13,55.07,19.06,4.597,12.38,12.19,12.58,4.46
2026-06-15 13:30:00,54,13,58.43,19.19,4.726,11.35,11.32,11.37,4.45
2026-06-15 13:45:00,55,13,58.57,19.38,4.917,11.77,11.75,11.79,4.61
2026-06-15 14:00:00,56,14,58.44,19.2,4.731,11.42,11.4,11.45,4.48
2026-06-15 14:15:00,57,14,55.43,19.56,5.091,11.48,11.31,11.64,4.12
2026-06-15 14:30:00,58,14,58.95,19.93,5.465,11.29,11.28,11.29,4.4
2026-06-15 14:45:00,59,14,56.02,20.37,5.906,12.11,11.97,12.25,4.32
2026-06-15 15:00:00,60,15,52.86,20.49,6.02,12.68,12.28,13.09,4.1
2026-06-15 15:15:00,61,15,56.49,21.02,6.557,12.66,12.5,12.83,4.49
2026-06-15 15:30:00,62,15,53.6,21.47,7.002,12.49,12.14,12.84,4.01
2026-06-15 15:45:00,63,15,54.02,22.03,7.561,12.06,11.75,12.37,3.86
2026-06-15 16:00:00,64,16,60.6,22.29,7.822,12.1,12.0,12.2,4.64
2026-06-15 16:15:00,65,16,64.14,22.8,8.333,12.18,11.86,12.5,5.03
2026-06-15 16:30:00,66,16,54.92,23.22,8.755,12.92,12.65,13.2,4.09
2026-06-15 16:45:00,67,16,64.75,23.7,9.233,11.98,11.63,12.35,4.92
2026-06-15 17:00:00,68,17,150.0,24.66,10.193,14.99,10.22,21.98,18.78
2026-06-15 17:15:00,69,17,150.0,24.94,10.475,16.46,11.23,24.15,20.59
2026-06-15 17:30:00,70,17,150.0,25.28,10.81,15.97,10.89,23.42,19.92
2026-06-15 17:45:00,71,17,150.0,25.64,11.169,15.15,10.33,22.21,18.84
2026-06-15 18:00:00,72,18,150.0,26.77,12.304,17.3,11.79,25.37,21.32
2026-06-15 18:15:00,73,18,150.0,26.81,12.339,15.93,10.86,23.37,19.63
2026-06-15 18:30:00,74,18,150.0,26.98,12.511,12.36,8.43,18.13,15.21
2026-06-15 18:45:00,75,18,150.0,27.08,12.61,11.13,7.59,16.32,13.68
2026-06-15 19:00:00,76,19,150.0,28.01,13.539,11.58,7.89,16.98,14.12
2026-06-15 19:15:00,77,19,150.0,27.83,13.364,13.01,8.87,19.08,15.89
2026-06-15 19:30:00,78,19,150.0,27.72,13.254,13.91,9.48,20.4,17.01
2026-06-15 19:45:00,79,19,125.55,27.74,13.275,11.16,8.44,14.77,10.92
2026-06-15 20:00:00,80,20,58.42,27.89,13.423,11.82,11.8,11.84,3.61
2026-06-15 20:15:00,81,20,58.21,27.61,13.142,11.87,11.85,11.9,3.63
2026-06-15 20:30:00,82,20,48.84,27.38,12.914,11.87,11.56,12.19,2.55
2026-06-15 20:45:00,83,20,45.47,27.03,12.56,12.81,12.36,13.27,2.36
2026-06-15 21:00:00,84,21,42.16,26.76,12.291,12.64,12.09,13.21,1.95
2026-06-15 21:15:00,85,21,41.78,26.32,11.849,12.93,12.35,13.53,2.0
2026-06-15 21:30:00,86,21,38.43,26.04,11.572,11.95,11.32,12.62,1.48
2026-06-15 21:45:00,87,21,31.88,25.66,11.198,12.29,11.44,13.19,0.76
2026-06-15 22:00:00,88,22,25.48,25.48,11.015,13.36,12.23,14.59,0.0
2026-06-15 22:15:00,89,22,25.06,25.06,10.599,10.56,9.66,11.55,0.0
2026-06-15 22:30:00,90,22,24.85,24.85,10.386,11.54,10.55,12.62,0.0
2026-06-15 22:45:00,91,22,24.51,24.51,10.045,10.29,9.39,11.26,0.0
2026-06-15 23:00:00,92,23,24.36,24.36,9.894,10.03,9.15,10.98,0.0
2026-06-15 23:15:00,93,23,24.1,24.1,9.637,9.3,8.48,10.19,0.0
2026-06-15 23:30:00,94,23,23.92,23.92,9.456,11.0,10.03,12.06,0.0
2026-06-15 23:45:00,95,23,23.72,23.72,9.258,9.1,8.29,9.98,0.0
